architecture,error_metric,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,0,segmentation,30,480,3,tanh,0.001,16,0.6660156,3,indian-pines,0.9088485799573561
CNN,0,segmentation,30,480,3,elu,0.0001,128,0.703125,3,indian-pines,0.9594882729211087
CNN,0,segmentation,30,480,3,relu,1e-05,8,0.66679686,3,indian-pines,0.9099146916844351
CNN,0,segmentation,30,480,5,elu,0.001,16,0.65625,3,indian-pines,0.8955223880597015
CNN,0,segmentation,30,480,2,sigmoid,0.001,128,0.7078125,3,indian-pines,0.9658848614072494
CNN,0,segmentation,30,480,4,elu,0.01,128,0.69570315,3,indian-pines,0.9493603752665246
CNN,0,segmentation,30,480,2,relu,0.001,8,0.7175781,3,indian-pines,0.9792110533049041
CNN,0,segmentation,30,480,2,sigmoid,0.01,64,0.70234376,3,indian-pines,0.9584221884861407
CNN,0,segmentation,30,480,2,sigmoid,0.0001,64,0.64765626,3,indian-pines,0.8837953228144989
CNN,0,segmentation,30,480,5,tanh,1e-05,64,0.4953125,3,indian-pines,0.67590618336887
CNN,0,segmentation,30,480,1,sigmoid,0.001,64,0.6886719,3,indian-pines,0.9397654925373135
CNN,0,segmentation,30,480,2,sigmoid,1e-05,8,0.540625,3,indian-pines,0.7377398720682303
CNN,0,segmentation,30,480,5,sigmoid,1e-05,16,0.42460936,3,indian-pines,0.5794242865671642
CNN,0,segmentation,30,480,2,relu,0.001,128,0.69492185,3,indian-pines,0.9482942089552239
CNN,0,segmentation,30,480,5,elu,0.01,16,0.6863281,3,indian-pines,0.9365671300639659
CNN,0,segmentation,30,480,5,sigmoid,0.001,64,0.6292969,3,indian-pines,0.858742038379531
CNN,0,segmentation,30,480,5,relu,1e-05,32,0.05859375,3,indian-pines,0.07995735607675906
CNN,0,segmentation,30,480,3,relu,0.01,32,0.7171875,3,indian-pines,0.9786780383795309
CNN,0,segmentation,30,480,4,relu,0.0001,16,0.61992186,3,indian-pines,0.8459488068230278
CNN,0,segmentation,30,480,3,tanh,0.0001,64,0.5890625,3,indian-pines,0.8038379530916845
CNN,0,segmentation,30,480,3,elu,1e-05,128,0.47148436,3,indian-pines,0.6433901714285715
CNN,0,segmentation,30,480,1,relu,0.001,8,0.70234376,3,indian-pines,0.9584221884861407
CNN,0,segmentation,30,480,3,elu,0.01,8,0.725,3,indian-pines,0.9893390191897654
CNN,0,segmentation,30,480,4,tanh,0.001,8,0.6460937,3,indian-pines,0.8816630447761195
CNN,0,segmentation,30,480,4,sigmoid,1e-05,128,0.28515625,3,indian-pines,0.3891257995735608
CNN,0,segmentation,30,480,1,sigmoid,1e-05,64,0.41054687,3,indian-pines,0.5602345347547975
CNN,0,segmentation,30,480,4,tanh,0.01,32,0.7152344,3,indian-pines,0.9760128272921109
CNN,0,segmentation,30,480,5,tanh,0.01,128,0.68125,3,indian-pines,0.929637526652452
CNN,0,segmentation,30,480,4,tanh,0.001,32,0.5203125,3,indian-pines,0.7100213219616204
CNN,0,segmentation,30,480,2,elu,0.01,8,0.72734374,3,indian-pines,0.9925372997867804
CNN,0,segmentation,30,480,1,tanh,0.01,64,0.7019531,3,indian-pines,0.957889091684435
CNN,0,segmentation,30,480,3,tanh,1e-05,8,0.5203125,3,indian-pines,0.7100213219616204
CNN,0,segmentation,30,480,3,relu,0.0001,8,0.68046874,3,indian-pines,0.9285714149253732
CNN,0,segmentation,30,480,3,sigmoid,0.001,16,0.6742188,3,indian-pines,0.9200427121535182
