architecture,task,num_features,training_samples,n_layers,activation_function,learning_rate,batch_size,metric,dimension,dataset,y
CNN,segmentation,30,480,1,relu,0.01,32,0.715625,3,indian-pines,0.9596070008733625
CNN,segmentation,30,480,4,sigmoid,1e-05,8,0.6898438,3,indian-pines,0.9954699310191669
CNN,segmentation,30,480,1,sigmoid,0.001,128,0.6988281,3,indian-pines,0.982671933197878
CNN,segmentation,30,480,3,elu,1e-05,64,0.7089844,3,indian-pines,0.9685950212726825
CNN,segmentation,30,480,1,tanh,0.001,128,0.690625,3,indian-pines,0.9943439058823529
CNN,segmentation,30,480,4,relu,1e-05,8,0.73125,3,indian-pines,0.9391025777777778
CNN,segmentation,30,480,3,tanh,1e-05,64,0.709375,3,indian-pines,0.9680616881057269
CNN,segmentation,30,480,2,sigmoid,0.01,8,0.7175781,3,indian-pines,0.9569951479845887
CNN,segmentation,30,480,1,sigmoid,0.0001,16,0.7210938,3,indian-pines,0.952329308614219
CNN,segmentation,30,480,3,relu,0.0001,16,0.7,3,indian-pines,0.9810268000000001
CNN,segmentation,30,480,1,relu,0.0001,64,0.7125,3,indian-pines,0.9638158035087718
CNN,segmentation,30,480,4,tanh,0.001,128,0.721875,3,indian-pines,0.9512987151515151
CNN,segmentation,30,480,4,elu,1e-05,64,0.72734374,3,indian-pines,0.944146106213824
CNN,segmentation,30,480,2,tanh,0.01,64,0.7277344,3,indian-pines,0.9436392727896331
CNN,segmentation,30,480,4,tanh,1e-05,32,0.69375,3,indian-pines,0.9898648792792792
CNN,segmentation,30,480,1,elu,1e-05,32,0.7441406,3,indian-pines,0.9228346901109816
CNN,segmentation,30,480,2,tanh,1e-05,16,0.7203125,3,indian-pines,0.9533622698481561
CNN,segmentation,30,480,3,elu,1e-05,128,0.690625,3,indian-pines,0.9943439058823529
CNN,segmentation,30,480,1,tanh,0.0001,32,0.728125,3,indian-pines,0.9431330609442059
CNN,segmentation,30,480,1,elu,0.01,8,0.72265625,3,indian-pines,0.9502702841081081
CNN,segmentation,30,480,4,elu,0.01,8,0.72929686,3,indian-pines,0.9416176013701745
CNN,segmentation,30,480,3,relu,1e-05,32,0.7128906,3,indian-pines,0.9632877190413227
CNN,segmentation,30,480,5,tanh,1e-05,64,0.7171875,3,indian-pines,0.9575163538126362
CNN,segmentation,30,480,4,relu,0.01,128,0.71953124,3,indian-pines,0.9543974212989
CNN,segmentation,30,480,5,relu,0.01,32,0.7289063,3,indian-pines,0.9421221355886209
CNN,segmentation,30,480,2,sigmoid,1e-05,8,0.70039064,3,indian-pines,0.980479636335517
CNN,segmentation,30,480,4,elu,0.01,64,0.6996094,3,indian-pines,0.9815745185813683
CNN,segmentation,30,480,1,sigmoid,0.001,32,0.715625,3,indian-pines,0.9596070008733625
CNN,segmentation,30,480,1,tanh,0.0001,64,0.7152344,3,indian-pines,0.9601310563362164
CNN,segmentation,30,480,2,sigmoid,0.001,16,0.7203125,3,indian-pines,0.9533622698481561
CNN,segmentation,30,480,3,sigmoid,1e-05,32,0.7171875,3,indian-pines,0.9575163538126362
CNN,segmentation,30,480,4,relu,0.01,64,0.7199219,3,indian-pines,0.9538795249873632
CNN,segmentation,30,480,5,relu,0.0001,64,0.7019531,3,indian-pines,0.9782972110244972
CNN,segmentation,30,480,3,tanh,0.01,128,0.7285156,3,indian-pines,0.9426273919185807
CNN,segmentation,30,480,5,sigmoid,1e-05,32,0.7167969,3,indian-pines,0.9580381276760545
CNN,segmentation,30,480,5,sigmoid,1e-05,64,0.7234375,3,indian-pines,0.9492440742980562
CNN,segmentation,30,480,2,relu,0.001,8,0.71914065,3,indian-pines,0.9549157873358987
CNN,segmentation,30,480,5,elu,0.01,16,0.71796876,3,indian-pines,0.9564744293331091
CNN,segmentation,30,480,3,relu,0.001,32,0.7210938,3,indian-pines,0.952329308614219
CNN,segmentation,30,480,4,tanh,0.0001,32,0.7128906,3,indian-pines,0.9632877190413227
CNN,segmentation,30,480,4,relu,0.01,8,0.7078125,3,indian-pines,0.9701986896247241
CNN,segmentation,30,480,4,sigmoid,0.01,32,0.7207031,3,indian-pines,0.9528455753832611
CNN,segmentation,30,480,4,tanh,0.01,64,0.715625,3,indian-pines,0.9596070008733625
CNN,segmentation,30,480,3,elu,0.001,32,0.7164062,3,indian-pines,0.9585606043052112
CNN,segmentation,30,480,3,sigmoid,0.0001,64,0.71835935,3,indian-pines,0.955954370190908
CNN,segmentation,30,480,2,sigmoid,1e-05,16,0.72929686,3,indian-pines,0.9416176013701745
CNN,segmentation,30,480,4,elu,0.0001,128,0.7097656,3,indian-pines,0.9675289419492857
CNN,segmentation,30,480,2,tanh,1e-05,128,0.7097656,3,indian-pines,0.9675289419492857
CNN,segmentation,30,480,5,elu,1e-05,64,0.7144531,3,indian-pines,0.9611810208395765
CNN,segmentation,30,480,5,relu,0.001,64,0.725,3,indian-pines,0.9471982896551724
CNN,segmentation,30,480,1,elu,0.001,64,0.70039064,3,indian-pines,0.980479636335517
CNN,segmentation,30,480,4,tanh,1e-05,64,0.7074219,3,indian-pines,0.9707343807139699
CNN,segmentation,30,480,2,tanh,0.0001,8,0.70820314,3,indian-pines,0.9696635346745286
CNN,segmentation,30,480,5,relu,0.01,128,0.69375,3,indian-pines,0.9898648792792792
CNN,segmentation,30,480,2,relu,1e-05,128,0.71875,3,indian-pines,0.9554347965217391
CNN,segmentation,30,480,2,tanh,1e-05,64,0.7199219,3,indian-pines,0.9538795249873632
CNN,segmentation,30,480,1,sigmoid,0.01,8,0.7386719,3,indian-pines,0.9296668250139202
CNN,segmentation,30,480,3,sigmoid,0.001,32,0.7171875,3,indian-pines,0.9575163538126362
CNN,segmentation,30,480,4,relu,0.0001,32,0.715625,3,indian-pines,0.9596070008733625
CNN,segmentation,30,480,1,sigmoid,0.0001,8,0.6972656,3,indian-pines,0.9848739992335774
CNN,segmentation,30,480,4,sigmoid,0.01,64,0.71015626,3,indian-pines,0.9669967001347
CNN,segmentation,30,480,5,sigmoid,0.0001,16,0.7011719,3,indian-pines,0.9793871659717112
CNN,segmentation,30,480,1,elu,1e-05,64,0.70703125,3,indian-pines,0.9712707323756906
CNN,segmentation,30,480,2,tanh,0.0001,16,0.72265625,3,indian-pines,0.9502702841081081
CNN,segmentation,30,480,3,elu,0.01,8,0.71171874,3,indian-pines,0.9648737927007514
CNN,segmentation,30,480,3,sigmoid,0.001,8,0.70703125,3,indian-pines,0.9712707323756906
